SID,COURSE,SNAME,CITY,TRAVEL_BY,TRAVEL_EXPENSE
1,BCA,ABHAY,SURAT,BIKE,50
2,BCA,TONY,BARDOLI,BUS,25
3,BCA,ANKIT,VESU,CAR,100
4,BCA,HARSH,SURAT,CAR,100
5,BCA,AMAN,BARDOLI,BUS,25
6,BCA,CHMAN,VESU,CAR,160
7,BCA,MAN,BARDOLI,BUS,20
8,BCA,ABC,VESU,CAR,100
9,BCA,SYS,SURAT,BUS,20
10,BCA,MNO,BARDOLI,BIKE,50
11,BCA,CDN,VESU,BIKE,50
12,BBA,SRM,BARDOLI,BUS,20
13,"",OM,BARDOLI,BIKE,50
14,BBA,SAI,SURAT,BUS,20
15,BCA,RAMA,VESU,CAR,100
16,BCA,AYUSH,BARDOLI,BUS,40
17,BCA,MEET,"",BIKE,10
18,"",DEV,SURAT,BUS,500
19,BBA,SMIT,BARDOLI,CAR,70
20,BCA,ANZAR,BARDOLI,BUS,30
